gene1,gene2,combined_score
ASF1B,NUSAP1,739
ASF1B,NUSAP1,739
TMPO,NUSAP1,631
TMPO,NUSAP1,631
CDCA5,NUSAP1,832
CDCA5,NUSAP1,832
CENPU,NUSAP1,698
CENPU,NUSAP1,698
TPX2,NUSAP1,964
TPX2,NUSAP1,964
BUB1,NUSAP1,937
BUB1,NUSAP1,937
CKS1B,NUSAP1,603
CKS1B,NUSAP1,603
CLSPN,NUSAP1,452
CLSPN,NUSAP1,452
TYMS,NUSAP1,905
TYMS,NUSAP1,905
CHAF1B,NUSAP1,479
CHAF1B,NUSAP1,479
CDC25C,NUSAP1,677
CDC25C,NUSAP1,677
TTK,NUSAP1,926
TTK,NUSAP1,926
CEP55,NUSAP1,930
CEP55,NUSAP1,930
ZWINT,NUSAP1,902
ZWINT,NUSAP1,902
CKS2,NUSAP1,774
CKS2,NUSAP1,774
PCNA,NUSAP1,474
PCNA,NUSAP1,474
PTTG1,NUSAP1,906
PTTG1,NUSAP1,906
KIF20A,NUSAP1,956
KIF20A,NUSAP1,956
CDK1,NUSAP1,946
CDK1,NUSAP1,946
RACGAP1,NUSAP1,869
RACGAP1,NUSAP1,869
STMN1,NUSAP1,455
STMN1,NUSAP1,455
TOP2A,NUSAP1,999
TOP2A,NUSAP1,999
TK1,NUSAP1,747
TK1,NUSAP1,747
MCM3,NUSAP1,472
MCM3,NUSAP1,472
UBE2T,NUSAP1,650
UBE2T,NUSAP1,650
