gene1,gene2,combined_score
ACAT2,ECHS1,831
ACAT2,ECHS1,831
RALA,RAB13,610
RALA,RAB13,610
MCM5,TTK,595
MCM5,TTK,595
GMNN,TTK,510
GMNN,TTK,510
MND1,TTK,728
MND1,TTK,728
GINS2,TTK,509
GINS2,TTK,509
ESPL1,TTK,945
ESPL1,TTK,945
ASF1B,TTK,530
ASF1B,TTK,530
CDCA5,TTK,734
CDCA5,TTK,734
CENPU,TTK,629
CENPU,TTK,629
TPX2,TTK,935
TPX2,TTK,935
BUB1,TTK,999
BUB1,TTK,999
CKS1B,TTK,524
CKS1B,TTK,524
CLSPN,TTK,567
CLSPN,TTK,567
TYMS,TTK,670
TYMS,TTK,670
CHAF1B,TTK,454
CHAF1B,TTK,454
CDC25C,TTK,787
CDC25C,TTK,787
TUBB,TTK,476
TUBB,TTK,476
NFKBIA,NFKB2,995
NFKBIA,NFKB2,995
NFKBIZ,NFKB2,830
NFKBIZ,NFKB2,830
TRADD,NFKB2,477
TRADD,NFKB2,477
ACTA2,PGAM1,535
ACTA2,PGAM1,535
PFKFB4,PGAM1,635
PFKFB4,PGAM1,635
HSPE1,PGAM1,419
HSPE1,PGAM1,419
PRDX1,PGAM1,532
PRDX1,PGAM1,532
HK2,PGAM1,588
HK2,PGAM1,588
NFKBIA,JUN,908
NFKBIA,JUN,908
DUSP1,JUN,911
DUSP1,JUN,911
EGR1,JUN,990
EGR1,JUN,990
WNK4,JUN,520
WNK4,JUN,520
KLF2,JUN,720
KLF2,JUN,720
BHLHE40,JUN,622
BHLHE40,JUN,622
PRDX1,JUN,582
PRDX1,JUN,582
MECOM,JUN,734
MECOM,JUN,734
RHOB,JUN,519
RHOB,JUN,519
HMGCR,JUN,423
HMGCR,JUN,423
BTG2,JUN,578
BTG2,JUN,578
BAX,JUN,560
BAX,JUN,560
PPARD,JUN,654
PPARD,JUN,654
NFKBIZ,JUN,529
NFKBIZ,JUN,529
RARB,JUN,566
RARB,JUN,566
NFAT5,JUN,687
NFAT5,JUN,687
TRADD,JUN,516
TRADD,JUN,516
ATF3,JUN,999
ATF3,JUN,999
NR4A2,JUN,623
NR4A2,JUN,623
GATA2,JUN,854
GATA2,JUN,854
MAFG,JUN,702
MAFG,JUN,702
USF1,JUN,488
USF1,JUN,488
LMNA,JUN,494
LMNA,JUN,494
NFKB2,JUN,525
NFKB2,JUN,525
MND1,CEP55,794
MND1,CEP55,794
GINS2,CEP55,531
GINS2,CEP55,531
ESPL1,CEP55,743
ESPL1,CEP55,743
ASF1B,CEP55,628
ASF1B,CEP55,628
CDCA5,CEP55,873
CDCA5,CEP55,873
CENPU,CEP55,608
CENPU,CEP55,608
TPX2,CEP55,944
TPX2,CEP55,944
BUB1,CEP55,928
BUB1,CEP55,928
CKS1B,CEP55,408
CKS1B,CEP55,408
CLSPN,CEP55,510
CLSPN,CEP55,510
TYMS,CEP55,767
TYMS,CEP55,767
CDC25C,CEP55,585
CDC25C,CEP55,585
TTK,CEP55,945
TTK,CEP55,945
NFKBIA,NCOA3,521
NFKBIA,NCOA3,521
PFKFB4,NCOA3,418
PFKFB4,NCOA3,418
MED13L,NCOA3,565
MED13L,NCOA3,565
PPARD,NCOA3,704
PPARD,NCOA3,704
NFAT5,NCOA3,479
NFAT5,NCOA3,479
ATF3,NCOA3,496
ATF3,NCOA3,496
ACAT2,NCOA3,462
ACAT2,NCOA3,462
USF1,NCOA3,548
USF1,NCOA3,548
JUN,NCOA3,938
JUN,NCOA3,938
NFKBIA,TSC22D3,412
NFKBIA,TSC22D3,412
DUSP1,TSC22D3,740
DUSP1,TSC22D3,740
PER1,TSC22D3,488
PER1,TSC22D3,488
JUN,TSC22D3,502
JUN,TSC22D3,502
MCM5,YBX1,576
MCM5,YBX1,576
EGR1,YBX1,471
EGR1,YBX1,471
MRPS7,YBX1,587
MRPS7,YBX1,587
RPL8,YBX1,562
RPL8,YBX1,562
EIF4A2,YBX1,629
EIF4A2,YBX1,629
JUN,YBX1,409
JUN,YBX1,409
MCM5,ZWINT,446
MCM5,ZWINT,446
GMNN,ZWINT,500
GMNN,ZWINT,500
MND1,ZWINT,532
MND1,ZWINT,532
GINS2,ZWINT,659
GINS2,ZWINT,659
ESPL1,ZWINT,846
ESPL1,ZWINT,846
ASF1B,ZWINT,487
ASF1B,ZWINT,487
TMPO,ZWINT,426
TMPO,ZWINT,426
CDCA5,ZWINT,908
CDCA5,ZWINT,908
CENPU,ZWINT,829
CENPU,ZWINT,829
TPX2,ZWINT,913
TPX2,ZWINT,913
BUB1,ZWINT,991
BUB1,ZWINT,991
CKS1B,ZWINT,437
CKS1B,ZWINT,437
TYMS,ZWINT,845
TYMS,ZWINT,845
CDC25C,ZWINT,515
CDC25C,ZWINT,515
TTK,ZWINT,766
TTK,ZWINT,766
CEP55,ZWINT,867
CEP55,ZWINT,867
MED13L,MED12,999
MED13L,MED12,999
NCOA3,MED12,666
NCOA3,MED12,666
MCM5,CKS2,542
MCM5,CKS2,542
GMNN,CKS2,787
GMNN,CKS2,787
MND1,CKS2,455
MND1,CKS2,455
GINS2,CKS2,468
GINS2,CKS2,468
ESPL1,CKS2,450
ESPL1,CKS2,450
PKMYT1,CKS2,909
PKMYT1,CKS2,909
CDCA5,CKS2,580
CDCA5,CKS2,580
CENPU,CKS2,559
CENPU,CKS2,559
TPX2,CKS2,596
TPX2,CKS2,596
BUB1,CKS2,805
BUB1,CKS2,805
CKS1B,CKS2,993
CKS1B,CKS2,993
TYMS,CKS2,679
TYMS,CKS2,679
CDC25C,CKS2,588
CDC25C,CKS2,588
ATF3,CKS2,419
ATF3,CKS2,419
LMNA,CKS2,408
LMNA,CKS2,408
TTK,CKS2,639
TTK,CKS2,639
CEP55,CKS2,692
CEP55,CKS2,692
ZWINT,CKS2,618
ZWINT,CKS2,618
RALA,LST1,638
RALA,LST1,638
CFP,LST1,509
CFP,LST1,509
PDE4B,CACNA1F,555
PDE4B,CACNA1F,555
FER,CTTN,492
FER,CTTN,492
SSH1,CTTN,633
SSH1,CTTN,633
TUBB,HLA-E,454
TUBB,HLA-E,454
CD300A,HLA-E,657
CD300A,HLA-E,657
NFKBIA,CD83,495
NFKBIA,CD83,495
CD38,CD83,565
CD38,CD83,565
IL3RA,CD83,669
IL3RA,CD83,669
LMNA,CD83,527
LMNA,CD83,527
MCM5,PCNA,918
MCM5,PCNA,918
GMNN,PCNA,557
GMNN,PCNA,557
GINS2,PCNA,412
GINS2,PCNA,412
RPL8,PCNA,401
RPL8,PCNA,401
LIG1,PCNA,999
LIG1,PCNA,999
ASF1B,PCNA,491
ASF1B,PCNA,491
TPX2,PCNA,449
TPX2,PCNA,449
CKS1B,PCNA,594
CKS1B,PCNA,594
CLSPN,PCNA,597
CLSPN,PCNA,597
TYMS,PCNA,913
TYMS,PCNA,913
CHAF1B,PCNA,933
CHAF1B,PCNA,933
CDC25C,PCNA,679
CDC25C,PCNA,679
INSIG1,PCNA,512
INSIG1,PCNA,512
YBX1,PCNA,433
YBX1,PCNA,433
ZWINT,PCNA,538
ZWINT,PCNA,538
CKS2,PCNA,576
CKS2,PCNA,576
CD38,TNFRSF4,516
CD38,TNFRSF4,516
IL3RA,TNFRSF4,432
IL3RA,TNFRSF4,432
ACTA2,FSCN1,434
