gene,degree,betweenness,closeness,eigenvector,community,evidence_count,degree_rank,betweenness_rank,bridge_score
C5AR1,3,0.00200240303037445,0.3128205128205128,0.004404228701375744,4,2,143.5,91,52.5
ANGPT1,3,0,0.35952848722986247,0.015913161019492503,4,2,143.5,170,-26.5
MAP2K4,3,0,0.3885350318471338,0.03710305752303349,1,2,143.5,170,-26.5
FLI1,3,1.910071559632713e-4,0.366,0.04382251685907919,1,2,143.5,142,1.5
MED12,3,0.002161145295135336,0.37731958762886597,0.028115334930825478,1,2,143.5,87,56.5
ALDH1A2,3,1.9115674853379771e-4,0.3055091819699499,0.004717583383998945,1,2,143.5,141,2.5
LST1,3,0.0016674423819567667,0.3014827018121911,0.0037629123968821922,4,2,143.5,98,45.5
NFAT5,3,2.29278362347479e-5,0.3553398058252427,0.015723146555296573,1,2,143.5,154,-10.5
SLC29A1,2,0,0.32332155477031804,0.06551807231544679,2,2,157.5,170,-12.5
GPHN,2,2.3244003144609921e-4,0.29373996789727125,0.003986347027403966,4,2,157.5,138,19.5
LIPC,2,0,0.2928,0.0031318544854238126,3,2,157.5,170,-12.5
GAD1,2,0.0013986955294430145,0.3112244897959184,0.0033581500102251023,4,2,157.5,103,54.5
GAB2,2,2.740764743106663e-4,0.2946859903381642,0.0018847106577554572,1,2,157.5,136,21.5
PTPN7,2,6.0869843341470086e-5,0.3238938053097345,0.007301636716037753,4,2,157.5,151,6.5
PLCD1,2,0.01092896174863388,0.29233226837060705,0.0025693529546731214,4,2,157.5,38,119.5
PLD1,2,6.993159646223176e-4,0.2980456026058632,0.005083833018182155,4,2,157.5,119,38.5
GUK1,2,0,0.34790874524714827,0.04177922000233578,3,2,157.5,170,-12.5
THOC3,2,8.183996121300834e-5,0.31881533101045295,0.022049267892842155,1,2,157.5,150,7.5
SOCS2,2,4.3878268628374714e-5,0.3465909090909091,0.03967462146752407,4,2,157.5,153,4.5
XPC,2,2.078867508519823e-4,0.28955696202531644,0.011160340980620376,6,2,157.5,140,17.5
MT2A,2,0.004338485370387412,0.3719512195121951,0.02556567768109663,1,2,157.5,68,89.5
MT1X,2,1.3917330673494875e-4,0.3055091819699499,0.03204000294216718,1,2,157.5,143,14.5
AHNAK,2,0,0.32737030411449014,0.009806472550107383,3,2,157.5,170,-12.5
MED13L,2,0,0.30247933884297523,0.00465444170941774,1,2,157.5,170,-12.5
ACSM1,2,0,0.27601809954751133,0.001782496162126588,3,2,157.5,170,-12.5
APLP2,2,6.588752299774502e-4,0.27111111111111114,0.002704842076305811,4,2,157.5,121,36.5
P2RX1,1,0,0.3122866894197952,0.004227113203981088,1,2,175.5,170,5.5
BOLA3,1,0,0.27232142857142855,0.0021359726412846763,3,2,175.5,170,5.5
RAB13,1,0,0.2914012738853503,0.002565657745446526,4,2,175.5,170,5.5
NUCKS1,1,0,0.3446327683615819,0.03792343196559526,2,2,175.5,170,5.5
PI4KB,1,0,0.2264851485148515,9.74386819721574e-5,4,2,175.5,170,5.5
SSH1,1,0,0.28773584905660377,0.002503976260722265,5,2,175.5,170,5.5
CPA3,1,0,0.3122866894197952,0.004227113203981088,1,2,175.5,170,5.5
SNRPA,1,0,0.3204903677758319,0.03363774941795231,2,2,175.5,170,5.5
CRHBP,1,0,0.31443298969072164,0.005219436610740829,1,2,175.5,170,5.5
PBXIP1,1,0,0.2798165137614679,0.0013226889599391562,1,2,175.5,170,5.5
POFUT2,1,0,0.2215496368038741,5.51381500310126e-5,4,2,175.5,170,5.5
CCDC146,1,0,0.28110599078341014,0.023703534987560303,2,2,175.5,170,5.5
DYRK1B,1,0,0.26598837209302323,0.0011770668313040374,1,2,175.5,170,5.5
WNK4,1,0,0.34724857685009486,0.00865778404759392,1,2,175.5,170,5.5
MYO10,1,0,0.28197226502311246,0.001477793921914387,5,2,175.5,170,5.5
FER,1,0,0.28773584905660377,0.0025039762607222643,5,2,175.5,170,5.5
FES,1,0,0.2695139911634757,0.0016650019657238981,3,2,175.5,170,5.5
SESN3,1,0,0.3070469798657718,0.004029101619867221,3,2,175.5,170,5.5
