gene,degree,betweenness,closeness,eigenvector,community,evidence_count,degree_rank,betweenness_rank,bridge_score,ENTREZID,druggability_score,drug_method,is_hub,is_bridge,is_core,is_druggable,degree_norm,between_norm,evidence_norm,drug_norm,target_score
CENPU,26,2.8412645880910355e-4,0.3935483870967742,0.7833829105811552,2,2,24.5,135,-110.5,79682,-1.6264,proteoscore,FALSE,FALSE,FALSE,FALSE,0.36764705882352944,0.0010063464205261514,0.25,-0.27709156083781694,0.1300770747636007
SQSTM1,20,0.0287013211175856,0.4575,0.13763091419247037,1,2,37.5,13,24.5,8878,-1.45026,proteoscore,FALSE,TRUE,FALSE,FALSE,0.27941176470588236,0.101657099772112,0.25,-0.24708239487251132,0.12973847039168482
TPX2,26,0.0021083077279063184,0.42857142857142855,0.7845845629158331,2,2,24.5,89,-64.5,22974,-1.68969,PhosphoScore,FALSE,FALSE,FALSE,FALSE,0.36764705882352944,0.00746740709837111,0.25,-0.2878743479046058,0.12921272948581186
RPL36A,13,8.509086637539514e-4,0.3539651837524178,0.029789401873753212,6,2,63.5,116,-52.5,6173,0,NA,FALSE,FALSE,FALSE,FALSE,0.17647058823529413,0.0030138301499713868,0.25,0,0.12854394250058251
SSH1,1,0,0.28773584905660377,0.002503976260722265,5,2,175.5,170,5.5,54434,1.50089,PhosphoScore,FALSE,FALSE,FALSE,TRUE,0,0,0.25,0.2557082837837378,0.12614165675674754
ACAT2,11,0.008592323649996639,0.34923664122137404,0.017362538032749345,3,2,71.5,50,21.5,39,0,NA,FALSE,FALSE,FALSE,FALSE,0.14705882352941177,0.030433118356590256,0.25,0,0.12520427073014156
RPL39,12,6.055388832199669e-4,0.35260115606936415,0.029039064890242917,6,2,66.5,122.5,-56,6170,0,NA,FALSE,FALSE,FALSE,FALSE,0.16176470588235295,0.0021447558603728744,0.25,0,0.12395836293678045
RPL37,12,6.055388832199669e-4,0.35260115606936415,0.02903906489024287,6,2,66.5,122.5,-56,6167,0,NA,FALSE,FALSE,FALSE,FALSE,0.16176470588235295,0.0021447558603728744,0.25,0,0.12395836293678045
SLC2A1,14,0.004311438681023754,0.44096385542168676,0.13903963190098745,3,2,60,69,-9,6513,-0.360221,proteoscore,FALSE,FALSE,FALSE,FALSE,0.19117647058823528,0.015270668216371087,0.25,-0.061371248854254344,0.12313282504889392
FDXR,9,0.016057268031490216,0.373469387755102,0.056323294875381014,3,2,88,25,63,2232,0,NA,FALSE,TRUE,FALSE,FALSE,0.11764705882352941,0.05687317638297132,0.25,0,0.12166875292365309
ECHS1,9,0.010045219292919917,0.36237623762376237,0.029639963316382075,3,2,88,44,44,1892,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.03557912389152791,0.25,0,0.1174099424253644
MRPL4,17,0.004163578941693741,0.3567251461988304,0.03599865369710416,6,2,48.5,72,-23.5,51073,-0.933456,proteoscore,FALSE,FALSE,FALSE,FALSE,0.23529411764705882,0.014746964369716446,0.25,-0.15903392770131902,0.11673084262779712
CD38,9,0.009031996608751019,0.39019189765458423,0.03209080617347339,4,2,88,46,42,952,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.0319903943318696,0.25,0,0.11669219651343274
MED13L,2,0,0.30247933884297523,0.00465444170941774,1,2,157.5,170,-12.5,23389,1.08624,proteoscore,FALSE,FALSE,FALSE,TRUE,0.014705882352941176,0,0.25,0.18506390620048593,0.11642454594597954
FDFT1,9,0.00666825891128757,0.35192307692307695,0.017708839643430365,3,2,88,59,29,2222,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.02361828079877807,0.25,0,0.11501777380681444
PBX1,7,0.014642354825045114,0.3877118644067797,0.03487788133571652,1,2,108.5,30,78.5,5087,0,NA,FALSE,TRUE,FALSE,FALSE,0.08823529411764706,0.05186170069489441,0.25,0,0.111842928374273
RHOB,9,0.0013409677007741835,0.41123595505617977,0.11265126672831076,1,2,88,105,-17,388,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.004749568383639901,0.25,0,0.1112440313237868
BTG2,9,0.001044401250490469,0.3961038961038961,0.05231595363572992,1,2,88,112,-24,7832,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,0.00369916080476784,0.25,0,0.11103394980801239
TMPO,9,2.2456027315186718e-4,0.3674698795180723,0.27316384880481026,2,2,88,139,-51,7112,0,NA,FALSE,FALSE,FALSE,FALSE,0.11764705882352941,7.953691747891368e-4,0.25,0,0.11045319148201665
POLD2,6,5.137887616977165e-4,0.3961038961038961,0.15806736796431284,2,2,116.5,126,-9.5,5425,0.361207,proteoscore,FALSE,FALSE,FALSE,TRUE,0.07352941176470588,0.0018197864549758514,0.25,0.061539234761156754,0.10973062777263828
MVK,8,6.634665812685396e-4,0.3182608695652174,0.008763804097272235,3,2,100.5,120,-19.5,4598,0,NA,FALSE,FALSE,FALSE,FALSE,0.10294117647058823,0.002349929753099521,0.25,0,0.10635233889179638
KLF2,8,3.095338955597309e-4,0.4103139013452915,0.06020158187642881,1,2,100.5,133,-32.5,10365,0,NA,FALSE,FALSE,FALSE,FALSE,0.10294117647058823,0.0010963369238249565,0.25,0,0.10610162032594146
NFKBIZ,8,9.596944187656397e-5,0.35952848722986247,0.03302553435166989,1,2,100.5,145,-44.5,64332,0,NA,FALSE,FALSE,FALSE,FALSE,0.10294117647058823,3.3991380006344655e-4,0.25,0,0.10595033570118916
PRDX1,12,0.014947023470949478,0.4420289855072464,0.1062430642754718,3,2,66.5,27,39.5,5052,-0.831708,proteoscore,FALSE,TRUE,FALSE,FALSE,0.16176470588235295,0.05294080540952573,0.25,-0.14169900878092662,0.1057777710904257
SAE1,6,0.010221510446542688,0.40308370044052866,0.10175752177339477,4,2,116.5,43,73.5,10055,0,NA,FALSE,FALSE,FALSE,FALSE,0.07352941176470588,0.036203528856001484,0.25,0,0.10429952930061206
HMGCR,15,0.03848764956585287,0.41216216216216217,0.07381982093606015,3,2,54.5,11,43.5,3156,-1.78438,proteoscore,FALSE,TRUE,FALSE,FALSE,0.20588235294117646,0.13631925916862175,0.25,-0.30400678758471705,0.10322720019913387
CD83,7,0.0016622661088955242,0.34923664122137404,0.019636124359925924,4,2,108.5,99,9.5,9308,0,NA,FALSE,FALSE,FALSE,FALSE,0.08823529411764706,0.005887573989625731,0.25,0,0.10264810303321927
TET2,7,0.001170935819249408,0.40848214285714285,0.04830370711678123,4,2,108.5,111,-2.5,54790,0,NA,FALSE,FALSE,FALSE,FALSE,0.08823529411764706,0.00414733311113137,0.25,0,0.10230005485752039
NR4A2,7,8.387830401881923e-5,0.3560311284046693,0.024879909978134978,1,2,108.5,149,-40.5,4929,0,NA,FALSE,FALSE,FALSE,FALSE,0.08823529411764706,2.9708824501225396e-4,0.25,0,0.10153000588429656
