gene_name,significant,difference,logpval
GPCPD1,+,0.601315975189209,2.07594061871735
ARPP19,+,-0.274081230163574,2.17840257006766
GMNN,+,-0.388391256332397,2.40204611137903
OSGIN1,+,0.592543363571167,1.39183689509205
SCARF2,+,0.870585083961487,2.38154782441224
CCDC174,+,0.290031909942627,1.58269827748549
GLO1,+,-0.387626886367798,1.70263598237307
MIDN,+,0.357250928878784,1.89645608037851
ZNF846,+,0.380810618400574,1.87864657239189
NIPAL2,+,0.311893463134766,1.33805766066563
HIST1H2AC,+,1.01443362236023,1.93333640885826
CYTL1,+,0.678235292434692,1.52481636567832
TMBIM1,+,0.460111379623413,1.33450164290854
FBXL8,+,0.616841077804565,2.0296876832353
OFD1,+,0.363254547119141,2.0340977979676
ACADVL,+,0.307920455932617,1.49052999625073
RGL2,+,0.336945772171021,1.49954640774879
GPR132,+,0.496078252792358,2.17696603568194
LOXL2,+,1.37044984102249,1.43158656951371
PEX11G,+,0.736033797264099,2.21723153429974
TSEN34,+,0.382351160049438,1.62265681578069
NEIL1,+,0.3718421459198,1.48333322501165
CKS2,+,-0.333539962768555,1.33285292916993
MTHFSD,+,0.301820278167725,1.71435610635697
CLDN15,+,0.424616098403931,1.97869909688352
KIF2C,+,-0.358041048049927,1.82162204015655
RNF213,+,0.404450178146362,1.63686491735627
ABCC2,+,1.09641134738922,1.44611490945234
TMEM136,+,1.28568840026855,2.50640828021842
RPL31,+,0.255666494369507,1.432332812042
CLK1,+,0.469106912612915,1.66877098960759
APITD1-CORT,+,-0.31168270111084,1.9318901131201
PER1,+,0.789615631103516,1.93102119491585
POFUT2,+,0.405546188354492,2.00160217129989
P2RX1,+,0.616222620010376,1.43096794911554
IRF3,+,0.296954393386841,1.41209758870385
FAM214B,+,0.631270885467529,2.21193167949042
MYL5,+,0.289324998855591,2.09348920177279
PTPN6,+,0.5219566822052,2.19683598262971
KLF2,+,0.952594399452209,1.77479606970717
DYRK1B,+,0.615589261054993,1.60273076956861
PCNA,+,-0.343412637710571,1.49186264582855
APBB3,+,0.414044618606567,1.85528636104353
KDM1A,+,-0.290427446365356,1.35500496370357
CHAF1B,+,-0.300858497619629,1.5588703415992
ZFP36L2,+,0.417953729629517,1.67687086786102
SMUG1,+,0.463826537132263,1.59296721772985
ZNF746,+,0.340596199035645,1.35417630560751
PITPNC1,+,0.765113830566406,2.45080581620852
ZBTB7B,+,0.417351722717285,1.92947761593238
ZNFX1,+,0.406803846359253,1.73002591083199
LPPR2,+,0.889703273773193,3.22957010806481
CDC42BPG,+,0.500153303146362,1.30496722099907
BIRC3,+,1.06421160697937,3.80129591060527
ANKRD24,+,1.21143805980682,1.54628344291244
BACE1,+,0.434483766555786,2.52659947709647
FGF18,+,2.30933555960655,1.31872621082981
ACAD11,+,0.671923637390137,1.77516252532228
ACOT11,+,-0.337251424789429,1.86120025749683
ID2,+,0.893234968185425,2.68694984554643
DKK3,+,0.636080145835876,1.62626166862156
NXN,+,1.06818270683289,1.60940105333161
PNPLA3,+,-1.84206229448318,3.88658413688005
CIITA,+,0.683100700378418,1.42023864956093
NME8,+,0.934166431427002,2.10044887601401
KMT2E,+,0.337780952453613,1.4576996271423
EXO1,+,-0.393096446990967,1.65127768270844
THEMIS2,+,0.702298164367676,2.00286266593894
SDF2,+,0.186950445175171,1.56376157864018
SPOCK1,+,1.41633400321007,1.33538973165081
ADI1,+,0.666149139404297,2.21441092001483
RPL18,+,0.384496927261353,1.78865289034177
TM7SF2,+,-0.831872940063477,2.84417590116753
ADAP1,+,0.425342321395874,1.67305195496268
TOB2,+,0.405927896499634,2.11402350985276
RIN2,+,1.66449892520905,3.0598416104834
ABCD1,+,0.513540267944336,2.12355268323452
TNFRSF19,+,-1.08776867389679,1.32958580185282
ZNF383,+,-0.870677709579468,1.43423888931753
ADRA2A,+,1.64372575283051,2.18160759338384
NUDT8,+,-0.540707349777222,1.50343619825159
ETV4,+,-2.47090601921082,2.10912816457742
ZNF674,+,0.568345785140991,2.6435381740892
KIF11,+,-0.364814758300781,1.5557567443638
IDUA,+,0.449061870574951,1.38399711036442
TRAF1,+,1.08628880977631,2.461557169097
MBOAT7,+,0.380722999572754,1.58603271854491
GRASP,+,1.19746351242065,1.65342790538653
ASPSCR1,+,0.294631242752075,1.3493242175297
FER,+,1.57694864273071,1.31048350815686
ENPP2,+,0.810632944107056,1.5325305776989
ZNF404,+,1.02438104152679,1.82126496492562
COPS8,+,-0.415907382965088,1.51555532514552
FBXL20,+,1.16935551166534,1.39207372445607
MSMO1,+,-0.846884965896606,2.80183795195912
NIPSNAP3B,+,0.676616668701172,1.44670737035777
ARHGAP19,+,-0.254117488861084,1.35636836899781
PRDX1,+,-0.42484712600708,1.69161197095177
LSS,+,-0.760367870330811,1.83564234073144
MTMR3,+,0.374802827835083,1.42251792229244
IDH3G,+,0.220173358917236,1.33035649303423
CLPTM1,+,0.315921068191528,1.79467816533434
TERT,+,-0.875899910926819,1.80654320949733
C5AR1,+,1.39893841743469,2.24064198050076
STAG3L5P-PVRIG2P-PILRB,+,0.27482271194458,2.25195028348345
GCAT,+,-0.208697319030762,1.30207742125175
UBE2C,+,-0.393578767776489,1.8990160518812
NDUFA4L2,+,-1.35234773159027,1.41765732003743
SPSB1,+,1.5099151134491,2.72099905156466
ZSWIM7,+,0.278521299362183,1.37927150702763
PARP6,+,0.42772388458252,1.6938211380505
TTK,+,-0.407474756240845,1.9196209829385
BHLHE40,+,0.5066978931427,1.51185985720077
SMARCD3,+,0.663196802139282,1.39633427901552
GRIPAP1,+,0.327892065048218,1.72631647978024
CYB5B,+,-0.498550653457642,1.66645156141262
SGK2,+,1.4907962679863,2.73436371017286
CDCA4,+,-0.553906917572021,1.9877268326953
ARSA,+,0.470744132995605,3.23236116443044
LPAR4,+,0.914600729942322,1.66749116867072
CYTH1,+,0.255786418914795,1.51483591314647
KIAA0430,+,0.352465629577637,1.60294969400212
LAX1,+,1.25814163684845,1.99378890870791
SOCS3,+,0.911114931106567,2.1239928575948
FAM220A,+,0.558923006057739,1.32393881996633
ACRBP,+,0.643546104431152,1.92787196367583
UNKL,+,0.580017566680908,2.58076749470809
MVD,+,-0.823657274246216,1.57441907330686
STAG3L3,+,0.609789609909058,1.84917462843953
IMUP,+,0.929464101791382,1.31074657240048
RPL10L,+,0.230384945869446,1.56580597295742
ZNF382,+,0.584309697151184,2.14724283178476
MT1X,+,0.636163711547852,1.33920241048111
EREG,+,0.707300186157227,1.805868433182
SOD2,+,0.366233587265015,1.7113551828375
CCL23,+,-0.725715100765228,2.89725194504195
C5AR2,+,0.845169305801392,1.38977644835652
PCBP4,+,0.73475193977356,1.30264223825064
CXorf65,+,0.815130949020386,1.72664164664418
TYMS,+,-0.353018999099731,1.32658698785388
MARCH2,+,0.642401695251465,2.64849089277879
NISCH,+,0.285601139068604,1.4555025239834
LEPROT,+,1.54303216934204,1.69869448585283
C10orf128,+,-1.01570320129395,1.66606541481462
CENPT,+,0.235113382339478,1.83406425066635
TTC17,+,0.384979486465454,2.14662273103416
CLK3,+,0.308105230331421,1.63181683340783
STK36,+,0.391679286956787,1.5195386784961
IL11RA,+,0.776170253753662,1.3836952627071
ANKRD28,+,0.662134408950806,2.53724848574047
STX4,+,0.358085632324219,1.32183232054107
SLC16A5,+,0.55724024772644,1.78931712805401
FAM111B,+,-0.832376003265381,1.82827089787597
