gene,logFC,QValue,KO_condition
ACSL5,-1.29515175783422,0.00277024694073043,KCTD5
FGF17,-1.29387764078776,0.00666021203069593,KCTD5
OGN,-1.28759964625388,0.000327176046262782,KCTD5
SPOCK2,-1.27775786773331,0.00357440210576464,KCTD5
FAAH,-1.27708910331771,0.00245956632001121,KCTD5
APBB2,-1.2740943576768,0.000210396601128921,KCTD5
CFI,-1.26689582564273,0.00279789574315034,KCTD5
ADH6,-1.26586132533722,0.0065889257920707,KCTD5
CFP,-1.26473652308061,0.00281947467189311,KCTD5
TAS2R13,-1.2626550106889,0.00693633636063175,KCTD5
ARL11,-1.25655047767235,0.0049392093009566,KCTD5
KATNAL2,-1.25122443277426,0.00427864149302964,KCTD5
ZNF594,-1.24837680905708,0.000449947872855444,KCTD5
RUBCNL,-1.24506661468552,0.00640772433558515,KCTD5
PRR4,-1.2409391129231,0.0059300766416286,KCTD5
TAMALIN,-1.2403250310814,0.00315847960919523,KCTD5
PAGE1,-1.23732934790263,0.00474090816074187,KCTD5
ANKRD33,-1.23693746973914,0.000632719458256933,KCTD5
LHX3,-1.2322606832398,0.00520201021719297,KCTD5
CCDC148,-1.23028623623498,0.00648234967474489,KCTD5
DAAM2,-1.23007475500947,0.00107328924658705,KCTD5
TLR7,-1.22974207446981,0.00166984616073089,KCTD5
NCOA5,-1.22720314969833,4.33619595324266e-06,KCTD5
EMID1,-1.22596128060937,1.1182811058703e-06,KCTD5
CYP2A6,-1.22551957927991,0.00983217852272932,KCTD5
SIGLEC8,-1.22416849034169,0.00452573229820881,KCTD5
HS3ST3B1,-1.22177676192832,3.14173444706716e-06,KCTD5
RUNDC3B,-1.22148385483748,0.0049392093009566,KCTD5
ZNF300,-1.22079266310566,3.43240048260175e-05,KCTD5
KRBA2,-1.21608687526148,0.00466085387253273,KCTD5
NEBL,-1.21587573728498,6.69322620306393e-07,KCTD5
CCDC30,-1.21553889337237,0.00678532241887985,KCTD5
NRROS,-1.21246186706109,1.60131430066741e-05,KCTD5
LIPC,-1.21178237739168,0.000666849400947763,KCTD5
NFIB,-1.20585120849059,0.000135349463591123,KCTD5
SLC26A11,-1.20423621316138,0.000624462022417831,KCTD5
LINGO3,-1.19082779707868,0.00766076919149696,KCTD5
AJUBA,-1.18850972712163,3.25099986625346e-05,KCTD5
CHD5,-1.18811304855839,0.0110725784023793,KCTD5
BCO2,-1.18709207167593,0.0113840733819676,KCTD5
PCDHGB1,-1.1857686549568,0.00698615572976567,KCTD5
ITIH4,-1.18506387443192,0.0078210391556376,KCTD5
RBFOX1,-1.18262346455696,0.00745758503802424,KCTD5
ASPN,-1.17997262723091,0.00213666164154373,KCTD5
RARB,-1.17750427705285,0.00629794750517722,KCTD5
PCDHGA2,-1.17709072968545,0.00723311564182266,KCTD5
ID3,-1.17595855336683,5.28084837517896e-06,KCTD5
SYTL2,-1.17523666830925,0.0126473652872119,KCTD5
TLCD2,-1.17432766614779,6.22380318706062e-05,KCTD5
JADE2,-1.17422167842646,1.25653858805971e-05,KCTD5
POU5F2,-1.17377794994895,0.00881408380985631,KCTD5
CCDC192,-1.17292040047028,0.0129860559954765,KCTD5
LYG2,-1.17244370669032,0.0155197780270954,KCTD5
RABEP2,-1.17179631513241,7.23155119686246e-05,KCTD5
CEMP1,-1.16896624538596,0.000408920241386126,KCTD5
ECM2,-1.168378989945,0.000531709608958671,KCTD5
ZNF77,-1.16604159197169,5.02350318331054e-05,KCTD5
ARHGAP9,-1.1657265131289,0.000434604178289859,KCTD5
ADGRG3,-1.16498220332376,0.00726551333930254,KCTD5
PDE4D,-1.16279010347101,0.00185513998632606,KCTD5
TLR8,-1.16278698395051,0.000300365933227742,KCTD5
GPC6,-1.15628002436038,0.0137928186194765,KCTD5
ZXDA,-1.15451647519172,0.0186654892061448,KCTD5
POPDC2,-1.15429145838929,0.0132443256645193,KCTD5
ZBTB8A,-1.15391552618072,0.00661823538487359,KCTD5
MSANTD2,-1.1506001782125,0.000243162378606613,KCTD5
ARHGDIB,-1.14986959582512,1.86961363378359e-05,KCTD5
CYP2E1,-1.14687906475713,0.0130041729720427,KCTD5
IER3,-1.14605823795872,6.54383335862873e-06,KCTD5
TMEM232,-1.1445183456968,0.00732948418163297,KCTD5
KCNQ5,-1.14327486907608,0.000601506279508395,KCTD5
PLA2G2C,-1.14184726872892,0.00867318050610465,KCTD5
FAM174B,-1.13596537123181,0.00766076919149696,KCTD5
SLC2A9,-1.13523818715719,0.0180282221605872,KCTD5
AMIGO3,-1.1324117960655,0.000275540906149232,KCTD5
PRR22,-1.12672392319631,0.00330505341872542,KCTD5
TRAM2,-1.12576499207507,6.9675753781497e-06,KCTD5
PECR,-1.12559915364582,3.40776491972607e-05,KCTD5
DRC3,-1.12543354535584,0.0059132511200136,KCTD5
ZNF618,-1.12375351249805,1.59212424674822e-05,KCTD5
PDCL2,-1.12313692607745,0.0179701345354599,KCTD5
PPM1H,-1.12278270123704,6.22181895171414e-06,KCTD5
ABCD2,-1.1205086953969,0.0190910836636337,KCTD5
NEB,-1.11756941427353,6.36812270354147e-06,KCTD5
VASN,-1.11733989060722,0.000399808456800058,KCTD5
SP110,-1.11488604871844,0.00254795700795577,KCTD5
NOXO1,-1.11474689020148,0.0017201978058673,KCTD5
SGSH,-1.11165054709879,3.40589440263561e-05,KCTD5
PLCB2,-1.10654010533624,2.63285229617966e-05,KCTD5
ITGAM,-1.10595529748204,0.000594052400499118,KCTD5
ABCA4,-1.09794657966376,0.0185687977582535,KCTD5
OR6A2,-1.09285639825979,0.0122101222654361,KCTD5
VTN,-1.09242379131281,0.0144903871074186,KCTD5
METAP1D,-1.08921461114724,7.98469827315743e-05,KCTD5
CMTM1,-1.08761455481012,0.00536687747392646,KCTD5
CPS1,-1.08731280018831,0.000286965061557712,KCTD5
NPHS1,-1.08685260287339,0.00287217206271028,KCTD5
GRAMD1B,-1.08632968123467,0.0161973703265125,KCTD5
SLC26A1,-1.08337113645955,4.87065011306406e-05,KCTD5
COL26A1,-1.08144920111138,0.0145959320720363,KCTD5
GLIS3,-1.08104464416436,0.0133116742618296,KCTD5
NPM2,-1.08087170229655,0.0243919018483011,KCTD5
CMPK2,-1.08062417540288,8.32623719785209e-05,KCTD5
SLC22A15,-1.07726966986259,1.95749919817426e-05,KCTD5
PCSK5,-1.07594519688841,0.0225726921624511,KCTD5
STXBP6,-1.07569173784268,0.0163078411096434,KCTD5
PTPRJ,-1.07540698223331,2.17706294149263e-05,KCTD5
TTC30B,-1.07240078793596,0.000363645147690889,KCTD5
