gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
RPAP2,0,1,0,0,0,1
RHOBTB1,0,0,0,1,0,1
PPIAL4D,0,0,0,1,0,1
PLCG2,0,0,0,0,1,1
RPL17,1,0,0,0,0,1
ROBO2,0,1,0,0,0,1
RNASET2,1,0,0,0,0,1
PNPLA7,0,0,0,1,0,1
PLIN2,0,0,0,1,0,1
RND1,0,1,0,0,0,1
PNPLA3,0,0,0,1,0,1
PNPLA2,0,0,0,1,0,1
RNF130,0,1,0,0,0,1
PNPLA1,0,1,0,0,0,1
PLK1,0,0,0,1,0,1
PLEKHA5,0,1,0,0,0,1
RNF5,0,0,0,0,1,1
PNISR,1,0,0,0,0,1
PMVK,1,0,0,0,0,1
PMAIP1,0,0,1,0,0,1
RNF185,0,1,0,0,0,1
RNF213,0,0,0,1,0,1
PLK2,1,0,0,0,0,1
RNF224,0,1,0,0,0,1
PM20D2,0,1,0,0,0,1
PLP2,1,0,0,0,0,1
PLSCR1,0,0,0,0,1,1
PNKD,1,0,0,0,0,1
POPDC2,0,1,0,0,0,1
PLD3,0,0,0,1,0,1
POMC,1,0,0,0,0,1
PLEC,0,0,0,0,1,1
RIN2,0,0,0,1,0,1
ROBO3,0,1,0,0,0,1
POLR3D,0,1,0,0,0,1
POLR2E,1,0,0,0,0,1
POLI,0,0,0,1,0,1
POLG2,0,0,0,1,0,1
POLE2,0,0,0,1,0,1
RNASEL,0,0,0,1,0,1
POLA2,0,0,0,1,0,1
PLEKHJ1,0,0,1,0,0,1
POLA1,0,0,0,1,0,1
RIPK2,1,0,0,0,0,1
PLEKHM1,0,0,0,1,0,1
POGLUT1,0,1,0,0,0,1
RIPK3,0,0,0,1,0,1
RLIM,0,0,0,0,1,1
PLEKHM3,0,0,0,1,0,1
RNASEH2A,0,1,0,0,0,1
PPP1R27,0,1,0,0,0,1
RIPK1,0,0,0,0,1,1
PTPRF,0,1,0,0,0,1
RBPJ,0,0,0,0,1,1
RCAN1,0,0,0,0,1,1
RCAN3,0,1,0,0,0,1
RCN1,1,0,0,0,0,1
PTPN6,0,0,0,1,0,1
RCN3,0,1,0,0,0,1
PTP4A1,1,0,0,0,0,1
PTMA,0,1,0,0,0,1
RCSD1,0,0,0,0,1,1
PTK7,0,0,0,1,0,1
RDM1,0,1,0,0,0,1
PTK2B,0,0,0,1,0,1
RGL2,0,0,0,1,0,1
PTGS2,1,0,0,0,0,1
PTGS1,1,0,0,0,0,1
REC8,1,0,0,0,0,1
PTBP2,0,0,0,1,0,1
PSTPIP1,0,0,0,0,1,1
PSME2,1,0,0,0,0,1
REEP4,0,1,0,0,0,1
REEP6,0,1,0,0,0,1
PSMD8,1,0,0,0,0,1
REL,0,0,0,0,1,1
RELL1,0,1,0,0,0,1
PSMD2,0,0,0,0,1,1
PSMB8,1,0,0,0,0,1
PTK2,0,0,0,0,1,1
RAMP1,1,0,0,0,0,1
RALGPS2,0,1,0,0,0,1
RAI14,0,0,0,0,1,1
RANBP3,0,0,0,0,1,1
RANGAP1,0,0,0,0,1,1
RAF1,0,0,0,0,1,1
RAD51AP1,1,0,0,0,0,1
RAP1GAP,0,0,0,0,1,1
RAPGEF3,0,0,0,1,0,1
RAD21L1,0,1,0,0,0,1
RASGEF1A,0,1,0,0,0,1
RABAC1,0,1,0,0,0,1
RASGRF1,0,1,0,0,0,1
RBM5,0,0,0,1,0,1
RAB4B,0,0,0,1,0,1
RAB3A,0,1,0,0,0,1
RASGRP2,1,0,0,0,0,1
RAB33B,0,0,0,1,0,1
RASGRP4,0,1,0,0,0,1
RAB27B,0,1,0,0,0,1
RASSF5,0,1,0,0,0,1
RAB11FIP5,0,1,0,0,0,1
QSOX2,0,0,0,1,0,1
RB1,0,0,0,0,1,1
RBFOX1,0,1,0,0,0,1
PYGB,0,1,0,0,0,1
PYCARD,1,0,0,0,0,1
RBM25,1,0,0,0,0,1
RAB9A,0,0,0,1,0,1
PRKCB,0,0,0,0,1,1
PRKCA,0,0,0,0,1,1
PRKAR1A,0,0,0,0,1,1
PRKAG1,0,0,0,0,1,1
