gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
NFE2.2,2.74590776551892e-62,0.556181291916827,0.955,0.739,6.64674433721511e-58,C,NFE2
SELENOH,1.95760458352623e-61,0.397635747160057,0.997,0.977,4.7385776548836e-57,C,SELENOH
RPS2.2,2.28314889155621e-61,-0.701262885511219,1,0.999,5.52659020690097e-57,C,RPS2
HSP90AA1.2,1.95230119055774e-60,0.487439543498048,1,0.999,4.72574026186406e-56,C,HSP90AA1
IDS,4.2870375543132e-47,-0.699494704179895,0.556,0.766,9.99394031039705e-56,C,IDS
MT-ND4,4.59808128354652e-73,0.40079106455308,1,1,1.1301155549527e-55,C,MT-ND4
DNAJB1.3,2.62480048281259e-59,1.64358082756488,0.821,0.649,6.35359204869615e-55,C,DNAJB1
VAMP5,1.38913898500962e-58,-0.552854442591442,0.42,0.697,3.36254982711429e-54,C,VAMP5
MDK.2,5.98084573970626e-58,-0.794898524012426,0.454,0.718,1.4477235197533e-53,C,MDK
FDXR.2,6.96421895313223e-58,0.732260154777759,0.382,48,1.68575883979519e-53,C,FDXR
RPL30.2,8.29254734585841e-58,-0.277930021383096,1,1,2.00729401053849e-53,C,RPL30
CD36,5.26654934143373e-57,0.621965153892772,39,0.022,1.27482093358745e-52,C,CD36
VAMP8,5.27356476317472e-57,0.386258259094295,0.998,0.982,1.27651908657407e-52,C,VAMP8
HSPA1A.3,3.93857847497179e-56,2.29372250048489,0.724,0.614,9.53372305651672e-52,C,HSPA1A
SPATC1L,1.96817424881202e-55,0.387410386077359,0.59,0.295,4.76416258667437e-51,C,SPATC1L
PNRC1.2,5.56778409660888e-55,-0.864237237129991,0.566,0.751,1.34773781842514e-50,C,PNRC1
HSH2D,1.75625466718514e-54,0.573120655072613,0.96,0.781,4.25119004738836e-50,C,HSH2D
DNAJB4,1.99382130521519e-54,0.560864852469159,0.454,98,4.82624385140389e-50,C,DNAJB4
RPS6KA1,2.47734287681123e-53,0.330538035518385,0.625,0.313,5.99665616760925e-49,C,RPS6KA1
RPL31,3.40344138974021e-53,-0.313022057857038,1,1,8.23837022800514e-49,C,RPL31
PPP1CA,1.88968700229702e-52,0.43971729905822,0.963,0.856,4.57417635776016e-48,C,PPP1CA
PRDX5,3.41872362201147e-52,0.405275561389828,0.966,0.877,8.27536239944095e-48,C,PRDX5
CIRBP,3.64571324783986e-52,-0.42192391167799,0.988,0.997,8.82481348772116e-48,C,CIRBP
CAPG,5.22910622291554e-52,0.462483507108661,0.869,0.643,1.26575745231894e-47,C,CAPG
RPL22.2,9.81982694274654e-52,-0.262859020990874,1,1,2.37698730976123e-47,C,RPL22
ENO1,1.53426537005817e-51,0.374792015216264,1,0.996,3.71384275476281e-47,C,ENO1
ALDH1A1,2.22344300429707e-51,-0.59394749708023,0.37,0.651,5.38206613620149e-47,C,ALDH1A1
BEX1,5.65619536242047e-51,-0.760998489139571,0.067,0.375,1.3691386494275e-46,C,BEX1
PKMYT1.2,5.72098911706085e-51,0.483317430420971,0.32,16,1.38482262567575e-46,C,PKMYT1
NFKBIZ.2,5.86084502594293e-51,-14405813237738.0,0.446,0.668,1.41867614697975e-46,C,NFKBIZ
SEC11A.2,1.298991545983e-38,0.404661314585806,0.933,0.814,2.73503389362064e-46,C,SEC11A
SLC25A6,8.54025121880122e-50,0.349286747005212,1,0.998,2.06725321002302e-45,C,SLC25A6
DDB2.3,3.80642599846347e-49,0.835822584840856,0.534,0.287,9.21383477188066e-45,C,DDB2
RPL21.2,7.93322111565587e-49,-0.414790783062932,0.997,1,1.92031550325566e-44,C,RPL21
COMMD6.2,8.39117431474004e-49,-0.433649404666924,0.973,0.993,2.03116765462597e-44,C,COMMD6
SARAF,9.20287173281954e-49,-0.403993775890385,0.958,0.991,2.2276471316463e-44,C,SARAF
POMC,1.09069124185133e-48,0.342948610473752,0.353,35,2.64012722002532e-44,C,POMC
LAPTM4A.2,9.00885485408163e-60,-0.57704883780639,0.879,0.938,2.80683405979e-44,C,LAPTM4A
DNAJB6.2,2.44030261793894e-48,-0.550378828585676,0.801,0.881,5.90699651698299e-44,C,DNAJB6
